order_id,customer_id,product_id,quantity,amount,status,created_at
O000001,C0255,P0087,4,37867.65,completed,2024-04-18 00:00:00
O000002,C0427,P0068,4,8187.45,returned,2024-01-14 00:00:00
O000003,C0463,P0099,4,37431.62,cancelled,2024-07-21 00:00:00
O000004,C0463,P0096,3,8392.23,cancelled,2024-09-04 00:00:00
O000005,C0147,P0074,5,21935.3,cancelled,2024-11-26 00:00:00
O000006,C0398,P0093,1,48597.62,cancelled,2024-08-13 00:00:00
O000007,C0410,P0073,3,2048.19,returned,2024-12-06 00:00:00
O000008,C0118,P0029,1,21265.69,returned,2024-04-18 00:00:00
O000009,C0311,P0086,5,8618.03,cancelled,2024-01-12 00:00:00
O000010,C0411,P0044,4,40176.37,cancelled,2024-07-26 00:00:00
O000011,C0181,P0067,3,24409.95,returned,2024-08-29 00:00:00
O000012,C0113,P0067,5,37473.77,returned,2024-12-24 00:00:00
O000013,C0326,P0089,2,27398.54,returned,2024-03-02 00:00:00
O000014,C0098,P0090,2,20029.34,processing,2024-10-07 00:00:00
O000015,C0318,P0080,1,14906.88,completed,2024-03-10 00:00:00
O000016,C0129,P0013,3,21829.42,processing,2024-04-03 00:00:00
O000017,C0348,P0056,3,14780.76,processing,2024-04-03 00:00:00
O000018,C0387,P0085,1,46105.31,processing,2024-08-03 00:00:00
O000019,C0370,P0094,1,33865.49,cancelled,2024-07-29 00:00:00
O000020,C0393,P0032,5,26170.76,cancelled,2024-08-31 00:00:00
O000021,C0338,P0062,5,30792.51,processing,2024-10-21 00:00:00
O000022,C0349,P0045,4,18643.43,returned,2024-11-24 00:00:00
O000023,C0430,P0085,1,32545.01,cancelled,2024-05-23 00:00:00
O000024,C0071,P0087,4,7160.73,completed,2024-02-11 00:00:00
O000025,C0322,P0083,3,26209.24,returned,2024-11-10 00:00:00
O000026,C0050,P0050,2,10301.65,returned,2024-01-09 00:00:00
O000027,C0463,P0020,2,30737.59,returned,2024-09-19 00:00:00
O000028,C0322,P0072,4,35751.29,processing,2024-08-19 00:00:00
O000029,C0331,P0079,1,26016.05,completed,2024-09-17 00:00:00
O000030,C0021,P0007,1,12635.84,cancelled,2024-11-27 00:00:00
O000031,C0159,P0002,2,23196.72,processing,2024-09-16 00:00:00
O000032,C0404,P0083,2,46815.5,processing,2024-08-08 00:00:00
O000033,C0226,P0021,4,46360.27,completed,2024-06-17 00:00:00
O000034,C0018,P0065,4,36033.5,cancelled,2024-04-21 00:00:00
O000035,C0297,P0061,3,42633.57,cancelled,2024-09-14 00:00:00
O000036,C0187,P0064,2,6852.43,processing,2024-06-17 00:00:00
O000037,C0375,P0022,1,26265.48,completed,2024-12-12 00:00:00
O000038,C0068,P0010,3,41486.46,cancelled,2024-11-02 00:00:00
O000039,C0047,P0097,4,589.08,completed,2024-01-24 00:00:00
O000040,C0466,P0063,4,20872.52,returned,2024-07-17 00:00:00
O000041,C0152,P0042,3,7601.42,cancelled,2024-08-29 00:00:00
O000042,C0168,P0031,5,3444.7,processing,2024-04-15 00:00:00
O000043,C0383,P0043,2,48850.11,processing,2024-10-20 00:00:00
O000044,C0213,P0036,3,15659.84,completed,2024-07-31 00:00:00
O000045,C0090,P0007,1,9463.95,cancelled,2024-04-14 00:00:00
O000046,C0103,P0065,3,34731.85,processing,2024-06-04 00:00:00
O000047,C0068,P0029,5,26931.8,returned,2024-12-14 00:00:00
O000048,C0403,P0071,2,16617.65,cancelled,2024-03-27 00:00:00
O000049,C0277,P0083,4,3148.28,cancelled,2024-12-22 00:00:00
O000050,C0449,P0049,4,23486.84,cancelled,2024-09-20 00:00:00
O000051,C0498,P0052,4,7906.01,cancelled,2024-12-21 00:00:00
O000052,C0188,P0031,4,17586.59,completed,2024-11-12 00:00:00
O000053,C0272,P0011,3,28000.89,completed,2024-09-14 00:00:00
O000054,C0257,P0059,5,11377.87,cancelled,2024-09-03 00:00:00
O000055,C0468,P0057,5,31477.21,returned,2024-07-23 00:00:00
O000056,C0140,P0074,4,46400.19,processing,2024-01-13 00:00:00
O000057,C0426,P0058,1,13800.57,completed,2024-06-10 00:00:00
O000058,C0085,P0012,4,41054.65,cancelled,2024-11-22 00:00:00
O000059,C0132,P0064,3,43416.85,cancelled,2024-06-14 00:00:00
O000060,C0468,P0058,5,29263.97,completed,2024-01-12 00:00:00
O000061,C0423,P0041,2,15355.94,completed,2024-12-09 00:00:00
O000062,C0484,P0016,4,31261.6,returned,2024-11-22 00:00:00
O000063,C0247,P0064,4,20222.09,processing,2024-06-03 00:00:00
O000064,C0496,P0096,1,12810.99,processing,2024-10-19 00:00:00
O000065,C0413,P0084,1,27095.75,processing,2024-03-11 00:00:00
O000066,C0152,P0003,5,33001.44,returned,2024-03-12 00:00:00
O000067,C0383,P0014,3,3965.06,cancelled,2024-03-01 00:00:00
O000068,C0446,P0052,4,7704.85,returned,2024-12-21 00:00:00
O000069,C0174,P0053,2,36558.84,returned,2024-08-21 00:00:00
O000070,C0412,P0005,2,14070.28,cancelled,2024-01-31 00:00:00
O000071,C0059,P0072,4,13219.59,cancelled,2024-05-14 00:00:00
O000072,C0240,P0071,5,5204.87,processing,2024-11-27 00:00:00
O000073,C0494,P0001,5,39863.54,completed,2024-10-14 00:00:00
O000074,C0039,P0012,1,29406.12,completed,2024-08-04 00:00:00
O000075,C0073,P0078,3,38325.11,cancelled,2024-12-24 00:00:00
O000076,C0387,P0080,4,16573.99,completed,2024-02-09 00:00:00
O000077,C0495,P0082,4,38620.74,returned,2024-10-06 00:00:00
O000078,C0116,P0039,1,29648.28,returned,2024-07-24 00:00:00
O000079,C0441,P0066,4,13933.15,cancelled,2024-12-15 00:00:00
O000080,C0347,P0072,3,40383.25,processing,2024-08-14 00:00:00
O000081,C0371,P0027,2,43578.7,completed,2024-01-16 00:00:00
O000082,C0346,P0084,2,33457.0,returned,2024-07-27 00:00:00
O000083,C0204,P0086,3,23722.0,completed,2024-07-19 00:00:00
O000084,C0496,P0059,2,8487.16,processing,2024-04-15 00:00:00
O000085,C0434,P0044,5,39188.91,completed,2024-04-05 00:00:00
O000086,C0412,P0047,4,49454.45,returned,2024-02-01 00:00:00
O000087,C0286,P0007,3,4656.78,cancelled,2024-02-05 00:00:00
O000088,C0188,P0029,5,40186.36,cancelled,2024-07-24 00:00:00
O000089,C0047,P0059,1,7408.93,completed,2024-03-24 00:00:00
O000090,C0405,P0043,5,8323.44,completed,2024-10-22 00:00:00
O000091,C0203,P0072,1,43742.24,cancelled,2024-12-12 00:00:00
O000092,C0008,P0099,1,16233.56,cancelled,2024-01-08 00:00:00
O000093,C0136,P0080,5,44807.07,returned,2024-08-30 00:00:00
O000094,C0275,P0077,1,2703.24,completed,2024-04-08 00:00:00
O000095,C0064,P0061,5,25633.09,completed,2024-10-24 00:00:00
